Row ID;Order ID;Product ID;Sales
1;CA-2017-152156;FUR-BO-10001798;26196
2;CA-2017-152156;FUR-CH-10000454;73194
3;CA-2017-138688;OFF-LA-10000240;1462
4;US-2016-108966;FUR-TA-10000577;9575775
5;US-2016-108966;OFF-ST-10000760;22368
6;CA-2015-115812;FUR-FU-10001487;4886
7;CA-2015-115812;OFF-AR-10002833;728
8;CA-2015-115812;TEC-PH-10002275;907152
9;CA-2015-115812;OFF-BI-10003910;18504
10;CA-2015-115812;OFF-AP-10002892;1149
11;CA-2015-115812;FUR-TA-10001539;1706184
12;CA-2015-115812;TEC-PH-10002033;911424
13;CA-2018-114412;OFF-PA-10002365;15552
14;CA-2017-161389;OFF-BI-10003656;407976
15;US-2016-118983;OFF-AP-10002311;6881
16;US-2016-118983;OFF-BI-10000756;2544
17;CA-2015-105893;OFF-ST-10004186;66588
18;CA-2015-167164;OFF-ST-10000107;555
19;CA-2015-143336;OFF-AR-10003056;856
20;CA-2015-143336;TEC-PH-10001949;21348
21;CA-2015-143336;OFF-BI-10002215;2272
22;CA-2017-137330;OFF-AR-10000246;1946
23;CA-2017-137330;OFF-AP-10001492;6034
24;US-2018-156909;FUR-CH-10002774;71372
25;CA-2016-106320;FUR-TA-10000577;104463
26;CA-2017-121755;OFF-BI-10001634;11648
27;CA-2017-121755;TEC-AC-10003027;9057
28;US-2016-150630;FUR-BO-10004834;308343
29;US-2016-150630;OFF-BI-10000474;9618
30;US-2016-150630;FUR-FU-10004848;1242
31;US-2016-150630;OFF-EN-10001509;3264
32;US-2016-150630;OFF-AR-10004042;86304
33;US-2016-150630;OFF-BI-10001525;6858
34;US-2016-150630;OFF-AR-10001683;1576
35;CA-2018-107727;OFF-PA-10000249;29472
36;CA-2017-117590;TEC-PH-10004977;1097544
37;CA-2017-117590;FUR-FU-10003664;19092
38;CA-2016-117415;OFF-EN-10002986;113328
39;CA-2016-117415;FUR-BO-10002545;5323992
40;CA-2016-117415;FUR-CH-10004218;212058
41;CA-2016-117415;TEC-PH-10000486;371168
42;CA-2018-120999;TEC-PH-10004093;147168
43;CA-2017-101343;OFF-ST-10003479;7788
44;CA-2018-139619;OFF-ST-10003282;95616
45;CA-2017-118255;TEC-AC-10000171;4598
46;CA-2017-118255;OFF-BI-10003291;1746
47;CA-2015-146703;OFF-ST-10001713;21196
48;CA-2017-169194;TEC-AC-10002167;45
49;CA-2017-169194;TEC-PH-10003988;218
50;CA-2016-115742;OFF-BI-10004410;3822
51;CA-2016-115742;OFF-LA-10002762;7518
52;CA-2016-115742;FUR-FU-10001706;616
53;CA-2016-115742;FUR-CH-10003061;8999
54;CA-2017-105816;OFF-FA-10000304;1526
55;CA-2017-105816;TEC-PH-10002447;102995
56;CA-2017-111682;OFF-ST-10000604;20856
57;CA-2017-111682;OFF-PA-10001569;324
58;CA-2017-111682;FUR-CH-10003968;31941
59;CA-2017-111682;OFF-PA-10000587;1456
60;CA-2017-111682;TEC-AC-10002167;30
61;CA-2017-111682;OFF-BI-10001460;4848
62;CA-2017-111682;OFF-AR-10001868;168
63;CA-2016-135545;TEC-AC-10004633;1398
64;CA-2016-135545;OFF-BI-10001078;25824
65;CA-2016-135545;OFF-PA-10003892;14673
66;CA-2016-135545;FUR-FU-10000397;7976
67;US-2016-164175;FUR-CH-10001146;213115
68;CA-2015-106376;OFF-AR-10002671;1113024
69;CA-2015-106376;TEC-PH-10002726;167968
70;CA-2017-119823;OFF-PA-10000482;7588
71;CA-2017-106075;OFF-BI-10004654;4616
72;CA-2018-114440;OFF-PA-10004675;1905
73;US-2016-134026;FUR-CH-10000513;831936
74;US-2016-134026;FUR-FU-10003708;9704
75;US-2016-134026;OFF-ST-10004123;72784
76;US-2018-118038;OFF-BI-10004182;1248
77;US-2018-118038;FUR-FU-10000260;9708
78;US-2018-118038;OFF-ST-10000615;2724
79;US-2015-147606;FUR-FU-10003194;193
80;CA-2017-127208;OFF-AP-10002118;20816
81;CA-2017-127208;OFF-BI-10002309;1674
82;CA-2015-139451;OFF-AR-10002053;149
83;CA-2015-139451;OFF-ST-10002370;2139
84;CA-2016-149734;OFF-EN-10000927;200984
85;US-2018-119662;OFF-ST-10003656;230376
86;CA-2018-140088;FUR-CH-10000863;30196
87;CA-2018-155558;TEC-AC-10001998;1999
88;CA-2018-155558;OFF-LA-10000134;616
89;CA-2017-159695;OFF-ST-10003442;158368
90;CA-2017-109806;OFF-AR-10004930;201
91;CA-2017-109806;TEC-PH-10004093;73584
92;CA-2017-109806;OFF-PA-10000304;648
93;CA-2016-149587;OFF-PA-10003177;1296
94;CA-2016-149587;FUR-FU-10003799;5334
95;CA-2016-149587;OFF-BI-10002852;3296
96;US-2018-109484;OFF-BI-10004738;5682
97;CA-2018-161018;FUR-FU-10000629;9653
98;CA-2018-157833;OFF-BI-10001721;51312
99;CA-2017-149223;OFF-AP-10000358;7788
100;CA-2017-158568;OFF-PA-10003256;64624
101;CA-2017-158568;TEC-AC-10001767;95976
102;CA-2017-158568;OFF-BI-10002609;1788
103;CA-2017-129903;OFF-PA-10004040;2392
104;US-2016-156867;TEC-AC-10001552;238896
105;US-2016-156867;FUR-FU-10004006;10236
106;US-2016-156867;OFF-BI-10002794;36882
107;CA-2018-119004;TEC-AC-10003499;74112
108;CA-2018-119004;TEC-PH-10002844;27992
109;CA-2018-119004;OFF-AR-10000390;3304
110;CA-2016-129476;TEC-AC-10000844;33996
111;CA-2018-146780;FUR-FU-10001934;4196
112;CA-2017-128867;OFF-AR-10000380;7596
113;CA-2017-128867;OFF-BI-10003981;2724
114;CA-2015-115259;OFF-FA-10000621;40096
115;CA-2015-115259;OFF-EN-10002600;472
116;CA-2015-115259;OFF-PA-10004965;23976
117;CA-2015-115259;OFF-EN-10002504;130464
118;CA-2016-110457;FUR-TA-10001768;78753
119;US-2016-136476;OFF-BI-10003650;157794
120;CA-2017-103730;FUR-FU-10002157;4704
121;CA-2017-103730;OFF-BI-10003910;3084
122;CA-2017-103730;OFF-ST-10000777;22656
123;CA-2017-103730;OFF-EN-10002500;11502
124;CA-2017-103730;TEC-PH-10003875;6804
125;US-2015-152030;FUR-CH-10004063;600558
126;US-2015-134614;FUR-TA-10004534;6177
127;US-2018-107272;OFF-BI-10003274;2388
128;US-2018-107272;OFF-ST-10002974;243992
129;US-2017-125969;FUR-CH-10001146;81424
130;US-2017-125969;FUR-FU-10003773;23856
131;US-2018-164147;TEC-PH-10002293;5997
132;US-2018-164147;OFF-PA-10002377;78304
133;US-2018-164147;OFF-FA-10002780;21456
134;CA-2017-145583;OFF-PA-10001804;2004
135;CA-2017-145583;OFF-PA-10001736;3544
136;CA-2017-145583;OFF-AR-10001149;1152
137;CA-2017-145583;OFF-FA-10002988;402
138;CA-2017-145583;OFF-BI-10004781;76176
139;CA-2017-145583;OFF-SU-10001218;6588
140;CA-2017-145583;FUR-FU-10001706;4312
141;CA-2017-110366;FUR-FU-10004848;828
142;CA-2018-106180;OFF-AR-10000940;882
143;CA-2018-106180;OFF-EN-10004030;1086
144;CA-2018-106180;OFF-PA-10004327;1437
145;CA-2018-155376;OFF-AP-10001058;83943
146;CA-2016-110744;OFF-ST-10003656;67193
147;CA-2015-110072;FUR-FU-10000521;93888
148;CA-2017-114489;TEC-PH-10000215;38445
149;CA-2017-114489;TEC-PH-10001448;14997
150;CA-2017-114489;FUR-CH-10000454;195184
151;CA-2017-114489;OFF-BI-10002735;17155
152;CA-2017-158834;OFF-AP-10000326;15792
153;CA-2017-158834;TEC-PH-10001254;203184
154;CA-2016-124919;OFF-PA-10001950;5838
155;CA-2016-124919;OFF-PA-10002254;10552
156;CA-2016-124919;OFF-ST-10001590;8088
157;CA-2016-118948;OFF-AR-10001547;663
158;CA-2015-104269;FUR-CH-10004063;457568
159;CA-2017-114104;OFF-LA-10002475;1462
160;CA-2017-114104;TEC-PH-10004536;94493
161;CA-2017-162733;OFF-PA-10002751;598
162;CA-2016-119697;TEC-AC-10003657;54384
163;CA-2017-154508;OFF-EN-10001990;284
164;CA-2017-113817;OFF-BI-10004002;2768
165;CA-2015-139892;OFF-AR-10004441;9936
166;CA-2015-139892;TEC-MA-10000822;8159952
167;CA-2015-139892;OFF-ST-10000991;275928
168;CA-2015-139892;FUR-CH-10004287;174006
169;CA-2015-139892;OFF-AR-10002656;32064
170;CA-2015-139892;OFF-AP-10002518;17798
171;CA-2015-139892;TEC-PH-10003931;143976
172;CA-2015-118962;OFF-PA-10000659;2094
173;CA-2015-118962;OFF-PA-10001144;11096
174;CA-2015-118962;FUR-CH-10003817;340144
175;US-2015-100853;OFF-AP-10000891;52448
176;US-2015-100853;OFF-LA-10003148;2016
177;US-2018-152366;OFF-AP-10002684;97264
178;US-2016-101511;FUR-CH-10004698;396802
179;US-2016-101511;OFF-SU-10002189;1588
180;CA-2016-137225;OFF-AR-10001940;328
181;CA-2015-166191;OFF-ST-10003455;24816
182;CA-2015-166191;TEC-AC-10004659;408744
183;CA-2015-158274;TEC-PH-10003273;50396
184;CA-2015-158274;TEC-PH-10004896;14995
185;CA-2015-158274;TEC-AC-10002345;29
186;CA-2017-105018;OFF-BI-10001890;716
187;CA-2015-123260;TEC-AC-10002323;1768
188;CA-2017-157000;OFF-ST-10001328;37224
189;CA-2017-157000;OFF-PA-10001950;20016
190;CA-2016-102281;FUR-BO-10002613;899136
191;CA-2016-102281;TEC-PH-10001552;7176
192;CA-2016-102281;OFF-PA-10000061;5184
193;CA-2016-102281;FUR-BO-10002545;626352
194;CA-2016-102281;OFF-AR-10003514;199
195;CA-2016-131457;OFF-EN-10001509;1428
196;CA-2015-140004;OFF-AR-10004685;7408
197;CA-2015-140004;OFF-AR-10004027;6048
198;CA-2018-107720;OFF-ST-10001414;4626
199;US-2018-124303;OFF-BI-10000343;2946
200;US-2018-124303;OFF-PA-10002749;16056
201;CA-2018-105074;OFF-PA-10002666;21744
202;CA-2015-133690;FUR-TA-10004289;21875
203;CA-2015-133690;OFF-AP-10003622;26
204;US-2018-116701;OFF-AP-10003217;66284
205;CA-2018-126382;FUR-FU-10002960;35168
206;CA-2018-108329;TEC-PH-10001918;444768
207;CA-2018-135860;OFF-ST-10000642;8392
208;CA-2018-135860;TEC-PH-10001700;13198
209;CA-2018-135860;OFF-BI-10003274;1592
210;CA-2018-135860;OFF-FA-10000134;5229
211;CA-2018-135860;OFF-ST-10001522;9199
212;CA-2016-101007;TEC-AC-10001266;208
213;CA-2016-146262;OFF-LA-10004544;2368
214;CA-2016-146262;FUR-BO-10004695;45245
215;CA-2016-146262;TEC-PH-10002844;62982
216;CA-2016-146262;TEC-MA-10000864;1188
217;CA-2016-146262;TEC-AC-10000109;89584
218;CA-2017-130162;OFF-ST-10001328;9306
219;CA-2017-130162;TEC-PH-10002563;302376
220;CA-2016-169397;OFF-FA-10000585;5584
221;CA-2016-169397;OFF-PA-10004000;22704
222;CA-2016-169397;OFF-BI-10002852;19776
223;CA-2016-169397;FUR-FU-10000087;72704
224;CA-2016-169397;TEC-MA-10001148;479988
225;CA-2016-169397;OFF-AR-10001958;27168
226;CA-2016-163055;OFF-AR-10001026;22
227;CA-2016-163055;FUR-TA-10003748;62245
228;CA-2016-163055;OFF-ST-10002485;2198
229;US-2016-145436;FUR-CH-10004860;161568
230;US-2016-145436;FUR-CH-10004477;389696
231;US-2015-156216;OFF-BI-10001679;18648
232;US-2018-100930;FUR-TA-10001705;23386
233;US-2018-100930;FUR-TA-10003473;6206145
234;US-2018-100930;OFF-BI-10001679;5328
235;US-2018-100930;FUR-FU-10004017;258072
236;US-2018-100930;TEC-AC-10003832;617976
237;CA-2018-160514;OFF-PA-10002479;1056
238;CA-2017-157749;OFF-PA-10003349;2592
239;CA-2017-157749;FUR-FU-10000576;41968
240;CA-2017-157749;FUR-FU-10004351;11688
241;CA-2017-157749;TEC-PH-10000011;31984
242;CA-2017-157749;FUR-TA-10002607;177225
243;CA-2017-157749;FUR-FU-10002505;4044
244;CA-2017-157749;OFF-AR-10004685;7408
245;CA-2015-131926;FUR-CH-10004063;200186
246;CA-2015-131926;OFF-ST-10002276;16672
247;CA-2015-131926;OFF-PA-10004082;4788
248;CA-2015-131926;OFF-AP-10002945;150325
249;CA-2015-131926;OFF-PA-10000061;2592
250;CA-2017-154739;FUR-CH-10002965;321568
251;CA-2017-145625;OFF-PA-10004569;761
252;CA-2017-145625;TEC-AC-10003832;334737
253;CA-2017-146941;OFF-ST-10001228;8058
254;CA-2017-146941;OFF-EN-10003296;36192
255;US-2016-159982;FUR-FU-10002505;12132
256;US-2016-159982;OFF-ST-10004804;82368
257;US-2016-159982;OFF-ST-10001590;5392
258;US-2016-159982;TEC-PH-10001580;647904
259;CA-2018-163139;TEC-AC-10000290;2037
260;CA-2018-163139;OFF-ST-10002790;22155
261;CA-2018-163139;OFF-BI-10003460;1752
262;US-2018-155299;OFF-AP-10002203;1624
263;US-2015-106992;TEC-MA-10000822;3059982
264;US-2015-106992;TEC-MA-10003353;2519958
265;CA-2017-125318;TEC-PH-10001433;328224
266;CA-2016-155040;TEC-AC-10004469;799
267;CA-2018-136826;OFF-AR-10003602;14016
268;CA-2017-111010;OFF-FA-10003472;756
269;US-2018-145366;OFF-ST-10004180;37208
270;US-2018-145366;OFF-EN-10004386;57576
271;CA-2018-163979;OFF-ST-10003208;72584
272;CA-2016-155334;TEC-AC-10003628;20993
273;CA-2016-155334;FUR-FU-10003274;528
274;CA-2016-155334;OFF-BI-10002557;1092
275;CA-2018-118136;OFF-PA-10002615;882
276;CA-2018-118136;OFF-AR-10001427;598
277;CA-2018-132976;OFF-PA-10000673;11648
278;CA-2018-132976;OFF-PA-10004470;18176
279;CA-2018-132976;OFF-ST-10000876;59712
280;CA-2018-132976;OFF-LA-10002043;2484
281;US-2016-161991;OFF-BI-10004967;208
282;US-2016-161991;TEC-PH-10001760;11144
283;CA-2016-130890;FUR-TA-10002903;103884
284;CA-2016-130883;OFF-PA-10000474;14176
285;CA-2016-130883;TEC-AC-10001956;2398
286;CA-2016-130883;OFF-PA-10004100;31104
287;CA-2017-112697;OFF-BI-10000778;254058
288;CA-2017-112697;OFF-AP-10002684;194528
289;CA-2017-112697;OFF-SU-10000646;96148
290;CA-2017-110772;OFF-FA-10002983;19096
291;CA-2017-110772;OFF-LA-10004689;18496
292;CA-2017-110772;TEC-AC-10002001;255984
293;CA-2017-110772;FUR-BO-10004709;8697
294;CA-2015-111451;FUR-FU-10004091;300416
295;CA-2015-111451;FUR-CH-10001891;230352
296;CA-2015-111451;FUR-FU-10002918;218352
297;CA-2015-111451;OFF-BI-10004593;786
298;CA-2015-111451;OFF-FA-10004854;27552
299;CA-2017-142545;OFF-PA-10002105;324
300;CA-2017-142545;OFF-ST-10002756;108248
301;CA-2017-142545;OFF-PA-10004243;5691
302;CA-2017-142545;FUR-FU-10001861;776
303;CA-2017-142545;OFF-BI-10002706;1428
304;US-2018-152380;FUR-TA-10002533;219075
305;CA-2016-144253;FUR-FU-10002671;268
306;CA-2015-130960;OFF-AR-10003651;984
307;CA-2015-111003;OFF-BI-10001072;4548
308;CA-2015-111003;OFF-AR-10002135;2892
309;CA-2018-126774;OFF-AR-10002804;489
310;CA-2017-142902;FUR-FU-10001918;15136
311;CA-2017-142902;FUR-CH-10004086;466768
312;CA-2017-142902;FUR-FU-10001756;15232
313;CA-2017-142902;OFF-LA-10000634;6264
314;CA-2015-120887;FUR-FU-10001588;8754
315;CA-2015-167850;TEC-PH-10002398;178384
316;CA-2015-167850;OFF-PA-10001937;15552
317;CA-2015-164259;OFF-AR-10003373;99136
318;CA-2015-164973;FUR-CH-10002602;135882
319;CA-2015-164973;TEC-MA-10002927;399198
320;CA-2015-164973;TEC-PH-10004093;27594
321;CA-2015-164973;TEC-AC-10000892;360
322;CA-2015-164973;OFF-ST-10002974;4357
323;CA-2015-156601;OFF-FA-10000624;716
324;CA-2017-162138;OFF-BI-10004593;25152
325;CA-2017-162138;TEC-AC-10001908;9999
326;CA-2018-153339;FUR-FU-10001967;15992
327;US-2017-141544;TEC-PH-10003645;290898
328;US-2017-141544;OFF-ST-10000675;54224
329;US-2017-141544;FUR-CH-10003312;786744
330;US-2017-141544;OFF-LA-10001074;10024
331;US-2017-141544;OFF-BI-10001524;37764
332;US-2017-150147;TEC-PH-10004614;828
333;US-2017-150147;OFF-BI-10001153;20724
334;US-2017-150147;OFF-BI-10001982;4896
335;CA-2016-137946;OFF-BI-10001922;4752
336;CA-2016-137946;TEC-CO-10001449;959984
337;CA-2016-137946;OFF-BI-10004140;14368
338;CA-2015-129924;OFF-BI-10003314;7712
339;CA-2015-129924;FUR-TA-10004575;698352
340;CA-2016-128167;OFF-FA-10000490;496
341;CA-2015-122336;OFF-AR-10000122;17856
342;CA-2015-122336;OFF-BI-10003656;50997
343;CA-2015-122336;OFF-FA-10002780;30992
344;CA-2015-122336;TEC-PH-10000702;71928
345;US-2016-120712;OFF-ST-10000107;888
346;CA-2018-169901;TEC-PH-10002293;47976
347;CA-2018-134306;OFF-AR-10004027;756
348;CA-2018-134306;OFF-PA-10000249;2456
349;CA-2018-134306;OFF-AR-10001374;1296
350;CA-2017-129714;TEC-AC-10000290;679
351;CA-2017-129714;OFF-PA-10001970;2456
352;CA-2017-129714;OFF-BI-10002160;3048
353;CA-2017-129714;OFF-PA-10001970;4912
354;CA-2017-129714;OFF-BI-10004995;4355168
355;CA-2017-138520;FUR-BO-10002268;388704
356;CA-2017-138520;OFF-EN-10001137;826
357;CA-2017-138520;OFF-AR-10002399;1704
358;CA-2017-138520;OFF-PA-10002713;344
359;CA-2017-130001;OFF-PA-10002666;3624
360;CA-2018-155698;OFF-AP-10001124;64784
361;CA-2018-155698;OFF-LA-10001158;207
362;CA-2018-144904;OFF-LA-10001158;207
363;CA-2018-144904;FUR-CH-10000785;488646
364;CA-2018-144904;OFF-AR-10003732;556
365;CA-2018-144904;FUR-FU-10000023;4712
366;CA-2015-123344;OFF-ST-10001713;21196
367;CA-2017-155516;OFF-BI-10002412;232
368;CA-2017-155516;OFF-SU-10001225;736
369;CA-2017-155516;OFF-ST-10002406;10479
370;CA-2017-155516;FUR-BO-10002545;104392
371;CA-2018-104745;OFF-PA-10002036;2592
372;CA-2018-104745;OFF-ST-10002205;53424
373;US-2015-119137;OFF-BI-10001982;816
374;US-2015-119137;TEC-AC-10003911;1023936
375;US-2015-119137;OFF-AR-10000658;924
376;US-2015-119137;TEC-AC-10002076;47904
377;US-2017-134656;OFF-PA-10003039;99136
378;US-2018-134481;FUR-TA-10004915;1488424
379;CA-2016-130792;OFF-AP-10000696;8652
380;CA-2016-130792;OFF-ST-10003327;23832
381;CA-2016-130792;OFF-BI-10000309;12176
382;CA-2017-134775;OFF-PA-10004734;5096
383;CA-2017-134775;OFF-BI-10002225;49536
384;CA-2016-125395;TEC-AC-10004708;419
385;US-2016-168935;FUR-TA-10000617;3754575
386;US-2016-168935;TEC-AC-10002335;83976
387;CA-2016-122756;TEC-MA-10001681;48234
388;CA-2016-122756;FUR-FU-10001935;296
389;CA-2015-115973;OFF-AR-10004757;2624
390;CA-2018-101798;OFF-BI-10000050;2336
391;CA-2018-101798;TEC-AC-10001998;3998
392;US-2015-135972;TEC-PH-10003012;246384
393;US-2015-135972;TEC-CO-10002313;179997
394;US-2015-134971;OFF-BI-10003982;12462
395;CA-2018-102946;OFF-BI-10004492;75792
396;CA-2018-165603;OFF-ST-10000798;4996
397;CA-2018-165603;OFF-PA-10002552;1296
398;CA-2016-122259;OFF-SU-10002573;7012
399;CA-2017-108987;OFF-ST-10001580;35952
400;CA-2017-108987;FUR-BO-10004834;23962656
401;CA-2017-108987;OFF-ST-10000934;131136
402;CA-2017-108987;TEC-AC-10000158;57584
403;CA-2015-113166;OFF-PA-10001947;9568
404;CA-2015-155208;OFF-AR-10003478;39072
405;CA-2018-117933;OFF-AP-10004249;3591
406;CA-2018-117457;TEC-AC-10000158;17995
407;CA-2018-117457;TEC-CO-10004115;1199976
408;CA-2018-117457;OFF-PA-10003724;2715
409;CA-2018-117457;FUR-TA-10002041;1004024
410;CA-2018-117457;OFF-PA-10002893;968
411;CA-2018-117457;OFF-LA-10003766;2835
412;CA-2018-117457;OFF-PA-10001970;5598
413;CA-2018-117457;FUR-BO-10001972;1336829
414;CA-2018-117457;FUR-CH-10003956;113568
415;CA-2018-142636;OFF-PA-10000157;13986
416;CA-2018-142636;FUR-CH-10001891;307136
417;CA-2018-122105;OFF-AR-10004344;9592
418;CA-2017-148796;FUR-CH-10004886;3838
419;CA-2018-154816;OFF-PA-10003845;578
420;CA-2018-110478;OFF-AR-10001573;932
421;CA-2018-110478;OFF-EN-10000483;1525
422;CA-2015-142048;TEC-AC-10004114;196752
423;CA-2018-125388;FUR-FU-10004712;5656
424;CA-2018-125388;OFF-ST-10000918;327
425;CA-2018-155705;FUR-CH-10000015;8664
426;CA-2018-149160;FUR-FU-10003347;284
427;CA-2018-149160;OFF-BI-10001543;28792
428;CA-2015-101476;TEC-MA-10000029;6999
429;CA-2018-152275;OFF-AR-10000369;6672
430;US-2017-123750;OFF-BI-10004584;189588
431;US-2017-123750;TEC-AC-10004659;408744
432;US-2017-123750;TEC-AC-10004659;29196
433;US-2017-123750;OFF-ST-10000617;4768
434;CA-2017-127369;OFF-ST-10003306;7143
435;US-2015-150574;OFF-BI-10000773;4812
436;US-2015-150574;TEC-AC-10002600;2478
437;CA-2017-147375;TEC-MA-10002937;1007979
438;CA-2017-147375;OFF-PA-10001970;313488
439;CA-2018-130043;OFF-PA-10002230;31872
440;CA-2018-157252;FUR-CH-10003396;207846
441;CA-2017-115756;FUR-FU-10000246;1222
442;CA-2017-115756;OFF-ST-10000060;19494
443;CA-2017-115756;OFF-ST-10003058;7095
444;CA-2017-115756;OFF-PA-10002222;9136
445;CA-2017-115756;FUR-CH-10002372;24294
446;CA-2017-115756;OFF-LA-10001317;2205
447;CA-2018-154214;FUR-FU-10000206;291
448;CA-2017-166674;OFF-AR-10000588;5952
449;CA-2017-166674;OFF-ST-10001469;16194
450;CA-2017-166674;OFF-AR-10001953;26388
451;CA-2017-166674;OFF-AR-10003156;3048
452;CA-2017-166674;OFF-AR-10004974;984
453;CA-2017-166674;TEC-PH-10002365;3512
454;CA-2018-147277;FUR-TA-10001539;284364
455;CA-2018-147277;OFF-ST-10000142;665408
456;CA-2017-100153;TEC-AC-10001772;6388
457;US-2015-110674;FUR-CH-10000225;129568
458;US-2017-157945;FUR-CH-10002331;747558
459;US-2017-157945;OFF-EN-10001415;8928
460;CA-2016-109638;OFF-AP-10002472;10392
461;CA-2016-109638;TEC-AC-10004571;89991
462;CA-2016-109638;OFF-BI-10001098;51312
463;CA-2017-109869;FUR-FU-10000023;2356
464;CA-2017-109869;FUR-TA-10001889;127263
465;CA-2017-109869;OFF-BI-10000315;28485
466;CA-2017-109869;OFF-SU-10003505;185376
467;CA-2017-109869;OFF-AP-10002578;78272
468;US-2016-101399;FUR-FU-10002918;254744
469;CA-2018-154907;FUR-BO-10002824;2053328
470;US-2017-100419;OFF-BI-10002194;4788
471;CA-2016-154144;OFF-PA-10004071;5548
472;CA-2015-144666;OFF-ST-10002743;34092
473;CA-2015-144666;FUR-BO-10001601;222666
474;CA-2015-144666;TEC-PH-10002680;703968
475;CA-2015-144666;OFF-ST-10001321;9252
476;CA-2015-144666;OFF-PA-10001509;6265
477;CA-2015-144666;OFF-PA-10003465;9485
478;CA-2017-103891;TEC-PH-10000149;9576
479;CA-2017-152632;FUR-FU-10002671;402
480;CA-2017-100790;OFF-AR-10003045;147
481;CA-2017-100790;OFF-ST-10000689;70425
482;CA-2015-134677;TEC-AC-10001445;909
483;CA-2015-127691;OFF-AR-10002053;596
484;CA-2015-127691;TEC-AC-10002567;15998
485;CA-2018-140963;OFF-LA-10003923;296
486;CA-2018-140963;FUR-BO-10001337;514165
487;CA-2018-140963;TEC-PH-10001924;27996
488;CA-2015-154627;TEC-PH-10001363;2735952
489;CA-2015-133753;TEC-PH-10000376;7992
490;CA-2015-133753;TEC-AC-10000303;63984
491;CA-2015-133753;OFF-AR-10001953;70368
492;CA-2015-113362;OFF-ST-10001809;44915
493;CA-2015-113362;OFF-EN-10003845;1107
494;CA-2017-169166;TEC-AC-10000991;9398
495;US-2017-120929;FUR-TA-10001857;189882
496;CA-2016-134782;OFF-EN-10001434;10542
497;CA-2017-126158;OFF-BI-10002498;119616
498;CA-2017-126158;FUR-FU-10004864;25576
499;CA-2017-126158;FUR-CH-10002602;241568
500;CA-2017-126158;FUR-FU-10000073;693
501;US-2017-105578;OFF-BI-10001670;2262
502;US-2017-105578;OFF-BI-10001658;14952
503;US-2017-105578;FUR-CH-10001215;801568
504;US-2017-105578;OFF-BI-10000831;2376
505;US-2017-105578;OFF-PA-10000357;32792
506;CA-2018-134978;OFF-BI-10003274;1592
507;CA-2016-145352;OFF-AR-10001662;274
508;CA-2016-145352;OFF-AR-10003856;834
509;CA-2016-145352;OFF-ST-10001228;4674
510;CA-2016-145352;OFF-BI-10003527;635495
511;CA-2018-135307;FUR-FU-10001290;1263
512;CA-2018-135307;TEC-AC-10002399;3804
513;CA-2017-106341;OFF-AR-10002053;7152
514;CA-2018-163405;OFF-AR-10003811;663
515;CA-2018-163405;OFF-AR-10001246;588
516;CA-2018-127432;TEC-CO-10003236;299995
517;CA-2018-127432;OFF-ST-10004507;5145
518;CA-2018-127432;OFF-PA-10001667;1196
519;CA-2018-127432;OFF-ST-10004459;112602
520;CA-2016-157812;TEC-AC-10000171;18392
521;CA-2016-157812;OFF-ST-10000736;129568
522;CA-2016-157812;OFF-BI-10000285;14112
523;CA-2018-145142;FUR-TA-10001857;21098
