Order ID;Order Date;Ship Date;Ship Mode;Postal Code;Customer ID
CA-2017-152156;08/11/2017;11/11/2017;Second Class;42420;CG-12520
CA-2017-138688;12/06/2017;16/06/2017;Second Class;90036;DV-13045
US-2016-108966;11/10/2016;18/10/2016;Standard Class;33311;SO-20335
CA-2015-115812;09/06/2015;14/06/2015;Standard Class;90032;BH-11710
CA-2018-114412;15/04/2018;20/04/2018;Standard Class;28027;AA-10480
CA-2017-161389;05/12/2017;10/12/2017;Standard Class;98103;IM-15070
US-2016-118983;22/11/2016;26/11/2016;Standard Class;76106;HP-14815
CA-2015-105893;11/11/2015;18/11/2015;Standard Class;53711;PK-19075
CA-2015-167164;13/05/2015;15/05/2015;Second Class;84084;AG-10270
CA-2015-143336;27/08/2015;01/09/2015;Second Class;94109;ZD-21925
CA-2017-137330;09/12/2017;13/12/2017;Standard Class;68025;KB-16585
US-2018-156909;16/07/2018;18/07/2018;Second Class;19140;SF-20065
CA-2016-106320;25/09/2016;30/09/2016;Standard Class;84057;EB-13870
CA-2017-121755;16/01/2017;20/01/2017;Second Class;90049;EH-13945
US-2016-150630;17/09/2016;21/09/2016;Standard Class;19140;TB-21520
CA-2018-107727;19/10/2018;23/10/2018;Second Class;77095;MA-17560
CA-2017-117590;08/12/2017;10/12/2017;First Class;75080;GH-14485
CA-2016-117415;27/12/2016;31/12/2016;Standard Class;77041;SN-20710
CA-2018-120999;10/09/2018;15/09/2018;Standard Class;60540;LC-16930
CA-2017-101343;17/07/2017;22/07/2017;Standard Class;90049;RA-19885
CA-2018-139619;19/09/2018;23/09/2018;Standard Class;32935;ES-14080
CA-2017-118255;11/03/2017;13/03/2017;First Class;55122;ON-18715
CA-2015-146703;20/10/2015;25/10/2015;Second Class;48185;PO-18865
CA-2017-169194;20/06/2017;25/06/2017;Standard Class;19901;LH-16900
CA-2016-115742;18/04/2016;22/04/2016;Standard Class;47150;DP-13000
CA-2017-105816;11/12/2017;17/12/2017;Standard Class;10024;JM-15265
CA-2017-111682;17/06/2017;18/06/2017;First Class;12180;TB-21055
CA-2016-135545;24/11/2016;30/11/2016;Standard Class;90004;KM-16720
